manifold,words,sigma,fitness,U00,U01,U02,U10,U11,U12,U20,U21,U22
m017,ABa/BAA/BBA,1.5,0.320456,0.7604,0.6201,0.193,0.526,0.4136,0.7432,0.381,0.6666,0.6407
m011,bbb/BAb/BBa,2.0,0.312301,0.7451,0.6227,0.2389,0.5463,0.3643,0.7542,0.3826,0.6925,0.6116
m038,ba/bbA/BAB,3.0,0.302484,0.7735,0.596,0.2156,0.5224,0.4068,0.7494,0.3589,0.6923,0.626
m023,ab/bb/aaB,3.0,0.320104,0.7601,0.5892,0.274,0.5519,0.3629,0.7508,0.3429,0.7219,0.601
m023,baB/AAb/AAA,3.0,0.310361,0.7574,0.6232,0.1951,0.525,0.4035,0.7494,0.3883,0.67,0.6328
m022,abA/AAA/Baa,3.0,0.302228,0.7698,0.5982,0.2224,0.5267,0.3988,0.7507,0.3604,0.695,0.6221
m038,bab/bbb/Abb,3.0,0.311801,0.7746,0.6069,0.1778,0.5092,0.4317,0.7445,0.3751,0.6673,0.6435
m017,aaa/Aba/AAB,3.0,0.311314,0.7489,0.6206,0.2324,0.5426,0.3729,0.7527,0.3805,0.6898,0.616
m016,bba/ABA/BBa,1.5,0.317456,0.7589,0.6051,0.2407,0.5431,0.384,0.7467,0.3594,0.6974,0.62
m019,abA/Abb/BAA,3.0,0.315168,0.7474,0.6265,0.2212,0.5407,0.38,0.7505,0.3861,0.6805,0.6227
m022,baa/bab/AAb,2.5,0.312506,0.7475,0.624,0.2278,0.542,0.3746,0.7523,0.3841,0.6858,0.6182
m016,bAb/AbA/BBA,3.0,0.320456,0.7835,0.5606,0.2679,0.5364,0.3926,0.7471,0.3137,0.7291,0.6083
m017,Ab/aBA/BAA,3.0,0.31467,0.7727,0.5805,0.2566,0.5391,0.3869,0.7481,0.335,0.7165,0.6119
m016,aa/ABa/BBB,3.0,0.312389,0.7668,0.585,0.2642,0.5437,0.3732,0.7517,0.3412,0.7201,0.6043
m017,ABB/BAB/BBA,1.0,0.3216,0.7566,0.6234,0.1974,0.5299,0.4077,0.7436,0.3831,0.6672,0.6388
m019,aba/bab/BAb,1.5,0.317448,0.7399,0.6384,0.2123,0.5405,0.3762,0.7525,0.4006,0.6715,0.6234
m015,aB/abA/AAA,3.0,0.317988,0.7404,0.6195,0.2607,0.5558,0.3462,0.7558,0.3779,0.7045,0.6007
m034,ba/baB/BBB,3.0,0.303565,0.7782,0.5806,0.2395,0.5277,0.3977,0.7506,0.3405,0.7105,0.6158
m019,abb/bAb/ABA,3.0,0.317191,0.7427,0.6309,0.2243,0.544,0.3733,0.7515,0.3904,0.6802,0.6205
m022,aa/baa/bbA,3.0,0.321535,0.7448,0.6224,0.2406,0.5502,0.3688,0.7491,0.3776,0.6903,0.6172
m149,bbA/BAA/BBA,3.0,0.304574,0.761,0.6032,0.2389,0.5374,0.3796,0.7531,0.3635,0.7015,0.613
m019,Aba/Abb/Bab,3.0,0.309644,0.769,0.5853,0.2572,0.5399,0.3792,0.7515,0.3423,0.7167,0.6076
m022,ba/AAA/BaB,3.0,0.315779,0.7643,0.616,0.1907,0.5216,0.4167,0.7445,0.3792,0.6685,0.6398
m019,abA/AAb/ABA,3.0,0.307961,0.7783,0.5828,0.2335,0.527,0.4043,0.7475,0.3412,0.7049,0.6219
