words,fitness,U00,U01,U02,U10,U11,U12,U20,U21,U22
aBa ABA BAA,0.15616710002853487,0.9922328016569262,0.12439479305046382,5.270653998299026e-05,0.12439480421644145,0.9922327125352683,0.0004205459034726125,1.656749502495787e-08,0.00042383585975008364,0.9999999101815779
aba AbA AAb,0.15632417683795077,0.9922328016569262,0.12439480329959077,1.5103068664101319e-05,0.12439480421644046,0.9922327943406599,0.0001204943112384738,3.1061215295076584e-09,0.00012143715129341087,0.9999999926265091
aba AbA ABA,0.15635000373423552,0.9922328016569262,0.1243948038949788,8.942948701334246e-06,0.12439480421644046,0.9922327990921137,7.134271708650722e-05,1.1762792489591683e-09,7.190104040538268e-05,0.9999999974151202
aBa ABA Baa,0.15636650185338957,0.9922327947864567,0.12439480066055257,0.00012049431123846678,0.12439480335510053,0.9922328016499675,1.5103068664100562e-05,0.0001176796648071936,2.9974626182349612e-05,0.9999999926265091
aBa bAA AAb,0.17015526871423436,0.9501774949530319,0.29289330277325626,0.10665946406838257,0.29772851812369666,0.9541042902006751,0.032291375265444885,0.09230632470556177,0.06243810223925593,0.9937711133898547
bb bAA AAb,0.1824499806092059,0.9628386936332043,0.23176734681917968,0.13865621872495662,0.23841674834907314,0.9705949773182384,0.033209096814920736,0.12688224520932653,0.0650329682007989,0.9897836172101628
BB aaB Baa,0.18244998060920867,0.9628386936332038,0.23176734681917954,0.13865621872495862,0.2384167483490732,0.9705949773182384,0.03320909681492119,0.12688224520932836,0.06503296820079982,0.9897836172101626
aBa AAb AAA,0.18818956911111334,0.995314427145892,0.09668039262021111,0.0014466506307093585,0.0966912152563667,0.9952025973762002,0.014919754284553877,2.7372368498740156e-06,0.014989725096422882,0.9998876477555071
aBa AAb BAA,0.19315782494282605,0.9953144271496199,0.09669119358982073,6.473020290454309e-05,0.0966912152567289,0.9953142040009642,0.0006664878872178657,1.661894949706737e-08,0.0006696238516510656,0.9999997758019233
aBa AAb AAB,0.1933187900138684,0.9953139387861576,0.09669102191713289,0.0010047579833909529,0.09669116781397574,0.9953144269785805,9.75452185502788e-05,0.0009906183696261638,0.00019423933846952107,0.9999994904730328
aBa AAb Baa,0.19342380401976064,0.995314420214938,0.09669121251056347,0.00011973069528049445,0.09669121458304945,0.9953144271471165,1.1630220744299632e-05,0.00011804514823949946,2.3152632766628324e-05,0.9999999927646492
aa bb AAb,0.20226361991098243,0.9504978197609424,0.30740828146059324,0.04532155247936138,0.310724656272297,0.939364935512406,0.14506448881182546,0.0020205479845053,0.1519660041562522,0.9883836557565205
AA BB Baa,0.2022636199109848,0.9504978197609424,0.30740828146059307,0.045321552479361996,0.31072465627229695,0.9393649355124055,0.1450644888118275,0.0020205479845053446,0.1519660041562543,0.9883836557565203
aBa bAA ABA,0.20440885405236528,0.9474952908192329,0.28894414222232695,0.13698159201433316,0.2968880765574599,0.954024104905672,0.04117617341306886,0.1187861266031912,0.07968243177975293,0.9897174173430897
bAA AAB BAA,0.2060753295868536,0.9963547919696307,0.08530347450479898,0.0006676500302809493,0.08530608723068939,0.9963242082201236,0.007806637940495774,7.374527374694117e-07,0.007835135732907613,0.9999693048526556
bAA AAB ABA,0.20868986973936104,0.9963532534955477,0.08530555269210305,0.001776774811548667,0.08530595550933333,0.9963547916477445,0.0001520369002031635,0.001757328505364108,0.00030305193319287463,0.9999984099767608
aaB baa Baa,0.2087496451887819,0.996354153338894,0.08530586534831024,0.001144753908689446,0.08530603255228511,0.9963547918368787,9.794834580459816e-05,0.0011322254739984294,0.00019524565535410313,0.9999993399720872
aaB baa bAA,0.20880807568573784,0.9963547919699014,0.08530608623218644,1.305222508277285e-05,0.08530608723071179,0.9963547803052448,0.00015246072812738113,1.1811658155607429e-09,0.00015301841130840248,0.9999999882926829
aaB baa AAB,0.20885136638568336,0.9963547806422997,0.08530608329399252,0.00015246072812735844,0.0853060862608631,0.9963547919674463,1.3052225082539775e-05,0.00015079154285647657,2.601047488403427e-05,0.9999999882926829
aaa aBa baa,0.21876581390278926,0.9280036341649684,0.37236559818433324,0.0123740157360122,0.37257104016023385,0.9274670012438483,0.03155600794880916,0.00027388050814447176,0.0338942899699587,0.9994253859578011
aa aBa baa,0.21876581390280003,0.9280036341649653,0.3723655981843402,0.01237401573601256,0.37257104016024095,0.9274670012438451,0.03155600794880941,0.00027388050814448927,0.033894289969959066,0.9994253859578011
AA AbA AAB,0.21876581390280503,0.9280036341649642,0.37236559818434345,0.012374015736012356,0.3725710401602442,0.9274670012438437,0.03155600794880856,0.0002738805081444845,0.033894289969958205,0.9994253859578011
AbA AAA ABA,0.22187662981317258,0.9280036669995626,0.37253905340286375,0.004883413259489067,0.37257105334254786,0.9279216402605491,0.012338547215789657,6.516585832160886e-05,0.013269635483694853,0.9999119523875794
bb aaa AAb,0.22257416974610306,0.9431301112790382,0.29910180087146493,0.14506448881182468,0.3083160987375333,0.9502037361219584,0.04532155247936004,0.12428506128275064,0.08746983808901392,0.9883836557565209
BB AAA Baa,0.22257416974611596,0.9431301112790342,0.29910180087147586,0.14506448881182804,0.30831609873754495,0.9502037361219545,0.045321552479362884,0.12428506128275192,0.08746983808901915,0.9883836557565202
AbA AAA AAB,0.2226006110808236,0.9277209885299131,0.371938147819521,0.03155600794880875,0.3724575647660046,0.9279667268728672,0.012374015736012616,0.02468055691548809,0.02323290798504831,0.9994253859578011
aaa aBa Baa,0.22286553242644588,0.9279163802202404,0.3723745366363272,0.017561201093518698,0.3725360098093293,0.9279918487200418,0.0069318182681490995,0.013715418852869584,0.012974327498564133,0.9998217611712852
aa aBa Baa,0.2228655324264566,0.9279163802202373,0.3723745366363344,0.01756120109351797,0.3725360098093365,0.9279918487200389,0.006931818268148962,0.013715418852868859,0.012974327498563844,0.9998217611712852
AA AbA AAb,0.22286553242646132,0.9279163802202361,0.3723745366363376,0.01756120109351836,0.3725360098093397,0.9279918487200376,0.0069318182681491845,0.013715418852869093,0.012974327498564243,0.9998217611712852
AA AbA ABA,0.22344477089947154,0.9279606271556253,0.37247393828500575,0.01233854721578998,0.37255377388496935,0.9279977574536502,0.004883413259489124,0.009631199977453953,0.009128387560436062,0.9999119523875794
