words,fitness,U00,U01,U02,U10,U11,U12,U20,U21,U22
BB bAA AbA,1.0562927448694546,0.7079071956626715,0.11942403779856807,0.6961359791914926,0.14528410345593584,0.989146463205604,0.021950025304073188,0.6912018023790281,0.08559891076252488,0.7175743131301819
bb aaB AbA,1.0562927448694548,0.7079071956626717,0.11942403779856797,0.6961359791914926,0.14528410345593556,0.989146463205604,0.021950025304073313,0.6912018023790282,0.0855989107625246,0.7175743131301819
bb bAA AbA,1.0562927448694548,0.7079071956626717,0.11942403779856811,0.6961359791914926,0.14528410345593565,0.9891464632056044,0.02195002530407334,0.6912018023790282,0.08559891076252465,0.7175743131301819
aba aBa AbA,1.0583105020022574,0.9993275735388252,0.036666071033087624,1.0092696190937939e-15,0.025926827466964612,0.7066313038760016,0.7071067811865476,0.025926827466963186,0.7066313038760018,0.7071067811865475
aaB AAb Baa,1.0599821087479067,0.9995083250494929,0.031354555598147815,1.0058922692435818e-16,0.022171018884541024,0.7067591144949043,0.7071067811865475,0.022171018884540875,0.7067591144949043,0.7071067811865476
bAA AAb Baa,1.0599821087479069,0.9995083250494929,0.03135455559814778,1.0058922692435818e-16,0.022171018884540993,0.7067591144949043,0.7071067811865476,0.022171018884540858,0.7067591144949044,0.7071067811865475
aaB aba ABA,1.0611546380294496,0.999616090608461,0.027706883560892192,4.33597621914933e-17,0.01959172525145291,0.7068353162524291,0.7071067811865477,0.01959172525145298,0.7068353162524293,0.7071067811865475
bb aba ABA,1.0624800760187751,0.9997201552189583,0.02365610384196296,5.5503383978276985e-17,0.016727391443105182,0.7069089010441932,0.7071067811865477,0.01672739144310511,0.7069089010441935,0.7071067811865475
BB aba ABA,1.0624800760187751,0.9997201552189583,0.023656103841962862,5.897234547691929e-17,0.016727391443105116,0.7069089010441932,0.7071067811865477,0.01672739144310504,0.7069089010441935,0.7071067811865475
bb BB Baa,1.0632092664377346,0.7068566113913692,0.6055592424444851,0.36558410088838916,0.7068566113913692,0.5852690514681392,0.3972579367689151,0.026598155286063383,0.5392199377653294,0.8417448525840433
aaB baa AAB,1.0637373472231604,0.9998023544159047,0.019880948277528128,0.0,0.014057953343459141,0.706967024653762,0.7071067811865478,0.014057953343459153,0.7069670246537624,0.7071067811865472
aBa baa AAB,1.0650306455331728,0.9998709936379213,0.016062256426654944,4.856912426224272e-17,0.011357730440444944,0.7070155599131055,0.7071067811865478,0.011357730440444884,0.7070155599131058,0.7071067811865472
AA aab BAA,1.0651292020365897,0.9998755852372039,0.015773840577317167,9.540385598545542e-17,0.011153789637576432,0.7070188066640946,0.7071067811865474,0.011153789637576562,0.7070188066640947,0.7071067811865477
aa aab BAA,1.0651292020365897,0.9998755852372039,0.01577384057731711,9.36692404220835e-17,0.011153789637576393,0.7070188066640946,0.7071067811865474,0.011153789637576522,0.7070188066640947,0.7071067811865477
aaa aab BAA,1.0651292020365901,0.9998755852372039,0.015773840577316522,8.326154704185201e-17,0.011153789637575977,0.707018806664095,0.7071067811865475,0.011153789637576095,0.7070188066640948,0.7071067811865476
bb baa AAB,1.067478877279238,0.9999594902556801,0.009000991478743087,3.9030487635927786e-17,0.006364662112021591,0.7070781364716348,0.7071067811865478,0.00636466211202154,0.7070781364716351,0.7071067811865472
BB baa AAB,1.067478877279238,0.9999594902556801,0.009000991478743045,3.556111095717865e-17,0.00636466211202156,0.7070781364716348,0.7071067811865478,0.0063646621120215146,0.7070781364716351,0.7071067811865472
aba baa AAA,1.0688882420895651,0.7143535388448186,0.696002285539227,0.07266250796701607,0.613964176780816,0.5735347436394733,0.5423153026314659,0.33577821723533413,0.43201703249128487,0.8370270440479716
AA AAb AAA,1.0704091287152862,0.6915598583373417,0.14746173176941685,0.7071067811865479,0.20854238099933534,0.9780133308534849,2.456368441983159e-15,0.6915598583373417,0.1474617317694204,0.707106781186547
AAb AAA Baa,1.0704091287152862,0.6915598583373419,0.14746173176941585,0.7071067811865478,0.20854238099933328,0.9780133308534853,1.8735013540549517e-15,0.6915598583373419,0.14746173176941854,0.7071067811865472
aa AAb AAA,1.0704091287152864,0.6915598583373417,0.14746173176941685,0.707106781186548,0.2085423809993356,0.9780133308534846,2.6367796834847468e-15,0.6915598583373417,0.14746173176942073,0.707106781186547
