length,twist,mult
4.520840851128051,1.7042882463477975,4
4.526302016629111,-2.478446735520504,4
4.52806040582223,2.394907570509644,2
4.529444696531855,-2.9269566945725525,4
4.535862933428394,-0.6162519549546425,2
4.5454159027107615,-0.3301087313590265,4
4.551960290518602,-0.433335712448652,2
4.561645382696359,-2.890068767152689,2
4.568259323294568,-1.4221631985882806,4
4.569299809642076,0.6143853904615423,2
4.5700577145423695,2.587192988171591,1
4.578445142315779,-0.9110938207068989,4
4.5808177166410395,3.077389711822985,2
4.581827075705872,-2.544846630226085,4
4.582755446204354,0.6051747235850045,2
4.585639678741994,2.1134885326060298,2
4.590856100041197,-1.8409002065503468,4
4.592546844329361,-0.6439250258382218,4
4.598886657361894,1.5407292511614916,2
4.599843093827906,1.4567436098424242,2
4.604334312943237,0.13582829692084336,4
4.607194187489457,0.3673676712622627,2
4.615051102741386,-2.1432195950324413,2
4.615416426867077,0.262335576970666,4
4.6158393467049095,3.0755330081171683,2
4.618968053783795,-3.010760711729296,2
4.621958439618098,-0.39145736070367537,4
4.62316065486381,0.524551261597034,2
4.625275723449609,2.5378075909784776,2
4.628908393961811,-1.4909583151027512,2
4.62938954169727,-1.2545058754775213,4
4.629747984295223,2.3125315146935828,4
4.636087648931725,-1.8257759233253692,4
4.638062801715406,-1.5822120334909608,2
4.638136709702428,-3.0217526989925267,2
4.639735064889442,-1.0217596588996911,4
4.6454666697737155,1.7035942029347906,2
4.64699302926575,1.452619763397729,2
4.648094224310396,2.951884148932692,4
4.655711985505939,-2.8062694950583493,2
4.658477453921197,2.8011614994886127,4
4.661668516591215,0.06783014997179652,4
4.661770256701823,0.4216071844300539,2
4.66311762912738,-1.4351084597062795,4
4.663562362890986,0.5973373607346896,1
4.666945278261758,-1.1437249954354436,4
4.667761215490265,1.270095290186458,4
4.667869721202685,-1.598741497210613,4
4.6684508532318505,-2.5073202880526337,4
4.668899360246773,-1.068440655247636,4
4.6727631384405575,-2.0574052683721127,8
4.674995181967083,-2.156461602151906,4
4.676115682166487,1.1542695252310016,4
4.6775876142823,1.2114855546103638,2
4.678644881893487,1.1310226762015547,2
4.679224298036533,2.3351932969045617,2
4.680016109934949,2.7777254160841327,2
4.681388780016403,-2.2275490295158744,4
4.6873881890424745,-0.09932069906610573,4
4.6882165190731575,-2.969898771927966,2
4.689784585271338,1.6508883340447589,8
4.689856017177113,1.0624511388574198,8
4.700637365047707,-1.8268773969948808,2
4.703417908963442,1.8298710222696082,4
4.705412130672377,-0.5816534293191606,2
4.705769400583237,-1.4677230382562956,2
4.705932106578384,-2.1233929458361027,2
4.707100180444292,0.577830079898037,1
4.710982257601042,2.371952522274991,4
4.713987064588953,1.6335783682723932,2
4.715693682151415,-1.3915408365519584,4
4.716081222313913,-1.8290366122170323,4
4.718409847703388,0.7899790585443205,8
4.720257192765756,-1.2746854273616786,2
4.721939463882858,-1.8507216754143712,2
4.724512682121694,1.3069970182754869,4
4.726837005714974,0.7068011717117428,2
4.732816064162572,-1.5287928177659056,4
4.734411348739149,-2.3298167432092822,4
4.735135578653669,1.9745794346784755,4
4.735350441912381,0.036720776232086944,4
4.735411698233625,-2.7061275412475667,2
4.73689048004872,2.0193590921838545,4
4.737524739481841,-2.147383187667408,4
4.7390622528126904,0.9952576244972119,2
4.740125146534674,2.5735822234028363,4
4.744395942112849,-0.835547521116619,2
4.74710773620371,-2.5685820819097342,4
4.748866687905994,1.442767340506967,2
4.748940761213215,2.104825876886285,2
4.75194557227791,-0.2790984514491358,2
4.752502585971622,1.2417020713068507,4
4.753004874928165,0.6699537766361302,4
4.75680896058892,-1.175573884786751,4
4.758175682017052,2.02438739373455,4
4.7582650339472305,2.686518485995134,2
4.765644705686804,-2.3627669730474525,4
4.766071565952276,0.4668673802779135,2
4.76761722086327,1.4249808074356822,4
4.7728161085650305,0.6527833554483166,2
4.7731972277534425,-2.4672924340132316,4
4.7768749997724855,0.281201400694394,2
4.777810922962283,-1.543868571627418,4
4.780418927200927,1.1993052045418338,2
4.782538888138195,0.1282341051531179,2
4.7826486729599225,-2.348388858262891,1
4.785593830648905,-1.2103266314866021,4
4.787723945254986,-1.7779418016534745,2
4.789138532551912,2.631958909710479,4
4.789243374420009,2.5889498040914107,2
4.792226740850559,1.7941447029263533,4
4.794643517888156,-1.4779643388951282,4
4.800841895365156,1.4641833446259678,2
4.801329412507303,0.6493072236117214,2
