manifold,word,length,phi_deg,phi_used,folding,target,target_val,abs_err,rel_err_pct,type,ratio_val
m003,BBB/AABAB,5,,,ratio,MZ_MW,1.1345,0.0131,1.16,ratio,1.1214
m006,ABBaB/Abb,5,,,ratio,MZ_MW,1.1345,0.0132,1.16,ratio,1.1213
m003,AB/ABaB,4,,,ratio,MZ_MW,1.1345,0.0139,1.23,ratio,1.1484
m003,ABaB,4,32.98,32.98,direct,theta12_NU,33.41,0.43,1.29,angle,
m006,AAB/AAbbb,5,,,ratio,MZ_MW,1.1345,0.0148,1.31,ratio,1.1493
m006,AAB/AA,3,,,ratio,MZ_MW,1.1345,0.0148,1.31,ratio,1.1493
m006,AAb,3,92.487,92.487,direct,7xtheta12_CKM,91.28,1.207,1.32,angle,
m006,AAbb,4,87.513,92.487,180-phi,7xtheta12_CKM,91.28,1.207,1.32,angle,
m006,ABaB/Abb,4,,,ratio,mb_mc,3.2913,0.0445,1.35,ratio,3.3358
m006,ABaB/ABBB,4,,,ratio,mb_mc,3.2913,0.0445,1.35,ratio,3.3358
m006,ABaB/AABBB,5,,,ratio,MZ_MW,1.1345,0.0155,1.37,ratio,1.119
m006,BBB,3,92.531,92.531,direct,7xtheta12_CKM,91.28,1.251,1.37,angle,
m003,BBB/AAAB,4,,,ratio,MZ_MW,1.1345,0.0158,1.4,ratio,1.1503
m006,AbAb/B,4,,,ratio,mb_mc,3.2913,0.0462,1.4,ratio,3.2451
m006,AAB/AAAb,4,,,ratio,MZ_MW,1.1345,0.0164,1.44,ratio,1.1509
m003,AABAB/AAA,5,,,ratio,MZ_MW,1.1345,0.0163,1.44,ratio,1.1182
m006,AAAA/AAAAB,5,,,ratio,MZ_MW,1.1345,0.0166,1.46,ratio,1.1179
m006,AAABB/AAAAb,5,,,ratio,MZ_MW,1.1345,0.018,1.59,ratio,1.1525
m003,AAA/AAbb,4,,,ratio,MZ_MW,1.1345,0.0184,1.62,ratio,1.1161
m006,AAAAB/ABBAb,5,,,ratio,mb_mc,3.2913,0.054,1.64,ratio,3.3453
m003,ABab/BB,4,,,ratio,MZ_MW,1.1345,0.0187,1.65,ratio,1.1532
m003,AAAAB/AAABB,5,,,ratio,MZ_MW,1.1345,0.0188,1.66,ratio,1.1533
m003,AAAAA/BBBB,5,,,ratio,MZ_MW,1.1345,0.0192,1.69,ratio,1.1537
m003,AABB/AAA,4,,,ratio,MZ_MW,1.1345,0.0194,1.71,ratio,1.1151
m006,AAAbb/B,5,,,ratio,mb_mc,3.2913,0.0561,1.71,ratio,3.2352
m003,AAB/AA,3,,,ratio,MZ_MW,1.1345,0.0195,1.72,ratio,1.115
m003,AAB/ABBB,4,,,ratio,MZ_MW,1.1345,0.0195,1.72,ratio,1.115
m003,AAAbb/AABaB,5,,,ratio,mb_mc,3.2913,0.057,1.73,ratio,3.3483
m006,AABab/AAAA,5,,,ratio,MZ_MW,1.1345,0.0196,1.73,ratio,1.1541
m003,BB/AABab,5,,,ratio,MZ_MW,1.1345,0.0197,1.74,ratio,1.1542
m003,ABAbb/ABBBB,5,,,ratio,MZ_MW,1.1345,0.0201,1.77,ratio,1.1546
m006,AAbab/BBB,5,,,ratio,mb_mc,3.2913,0.0616,1.87,ratio,3.2297
m003,AABAB/AAAb,5,,,ratio,MZ_MW,1.1345,0.0217,1.91,ratio,1.1128
