name,vol,score,j_inv,u11,u12,u13,u21,u22,u23,u31,u32,u33
m003,1.5886466393,2.0107209110105932,-0.00021733598358051383,0.5773502691896257,0.7743945399040898,0.2588044884336437,0.5773502691896257,0.6113275299167722,0.5412442312233218,0.5773502691896257,0.16306976339159665,0.8000468229635532
m011,2.0298832128,3.7074306907770134,0.0005817212119281328,0.5773502691896257,0.40774074078250094,0.7073995723583695,0.5773502691896257,0.408763087004387,0.7068093133011976,0.5773502691896258,0.8164926374492186,0.0025376481011723374
m007,1.8243443222,5.630528148428663,0.0011588515752230873,0.5773502691896257,0.4096808261905535,0.7062777692370703,0.5773502691896257,0.40684371836946165,0.7079158533964167,0.5773502691896258,0.8164801341582879,0.005182392452412249
m004,1.4406990067,10.215155240153937,-0.002476401412871139,0.5773502691896257,0.44798090247952266,0.6826271146682493,0.5773502691896258,0.36732386769936287,0.7292049388786717,0.5773502691896256,0.815098943216106,0.047753318572152
m003,1.42361190029,14.601632670981045,-0.003794327000653002,0.5773502691896257,0.39647286145935823,0.713775830911145,0.5773502691896257,0.42022638969106235,0.700054603637375,0.5773502691896257,0.8162224277324436,0.021156916912034113
m007,1.8854147256,15.858211826218682,-0.0043456609058513335,0.5773502691896257,0.8045136798144835,0.13937146644139692,0.5773502691896257,0.522114847864545,0.6277441774369951,0.5773502691896257,0.2831145079835043,0.765841264255149
m004,1.28448530047,24.61736474401904,0.0068642614978681096,0.5773502691896257,0.5743698794914684,0.5803153523728476,0.5773502691896257,0.21708354786990847,0.7871095221828278,0.5773502691896257,0.789287004059467,0.209027969156038
m007,1.5831666606,71.4103075414955,-0.020844746751536816,0.5773502691896257,0.5222483680274439,0.6276331004331577,0.5773502691896257,0.294509499008798,0.7615318914269144,0.5773502691896257,0.8003254319876748,0.16169684468290765
m003,1.54356891147,73.53274088226411,-0.021481884413455596,0.5773502691896257,0.5248575869395864,0.6254527800710625,0.5773502691896257,0.29218107515041875,0.762428282522764,0.5773502691896257,0.7994715334243613,0.16586721770972984
m017,1.9627376578,74.24547020807537,0.02187705955601525,0.5773502691896257,0.8104383707411795,0.09927897006440549,0.5773502691896258,0.38495289532748944,0.7200541195255046,0.5773502691896258,0.44158908003863184,0.6867792593383273
m023,2.01433658378,76.47987988055706,0.022641187027044183,0.5773502691896257,0.6849674849915129,0.4443942069503928,0.5773502691896258,0.721195622772662,0.382810057809639,0.5773502691896257,0.10342348958507566,0.8099199025019158
m006,1.5886466393,79.58593055830833,0.02336017745141592,0.5773502691896257,0.5654796772539145,0.5889816646377672,0.5773502691896257,0.24560851887766033,0.778680372246141,0.5773502691896256,0.7873431209247532,0.2162347719473813
m015,1.75712602919,96.72002046344923,-0.028448669809465532,0.5773502691896257,0.40226348647470017,0.7105285033803256,0.5773502691896257,0.43213859427328594,0.6927646801087473,0.5773502691896257,0.8071185308173311,0.12339507234059112
m007,2.02594528186,107.5441390009086,0.03193882875633181,0.5773502691896257,0.7553731377552315,0.3099646583475001,0.5773502691896258,0.6272235376068708,0.5227401845454287,0.5773502691896258,0.18974207922792988,0.7941439479319407
m003,1.41406104417,160.3385237040104,0.04771496286324652,0.5773502691896257,0.7891762914297402,0.20944557219446813,0.5773502691896257,0.43428146463163814,0.6914233696831962,0.5773502691896257,0.43428146463163797,0.6914233696831964
m006,1.9537083154,216.47005971483705,0.06448412693557283,0.5773502691896257,0.6920831355451221,0.4332292697414369,0.5773502691896258,0.29547484832067905,0.7611578552945101,0.5773502691896257,0.658570837119215,0.482650100137525
m019,2.02988321282,289.0170034074998,0.08628085321428143,0.5773502691896257,0.6542728433460281,0.488460554319968,0.5773502691896258,0.43355839423488174,0.6918770016810339,0.5773502691896257,0.6196403515333507,0.5317071575766985
