words,fitness,U00,U01,U02,U10,U11,U12,U20,U21,U22
BB aab aaB,0.464801157993194,0.9706839683760864,2.082532715114007e-07,0.2403593841263719,3.9034007874519434e-08,0.9999999999997481,7.087869128359704e-07,0.24035938412645894,6.786259031919519e-07,0.9706839683758504
aaa aab aba,0.49459869114499205,0.8375651057028353,0.5460543369323019,0.017588485620496853,0.5462683640374428,0.8375372262217893,0.01105753790710861,0.008692994930062776,0.018869441171785437,0.9997841647220717
aa aab aba,0.4945986911450013,0.8375651057028315,0.5460543369323074,0.0175884856204963,0.5462683640374484,0.8375372262217857,0.011057537907108419,0.00869299493006229,0.01886944117178503,0.9997841647220717
aaa aab baa,0.4946596416942664,0.8375967285322496,0.5462262690367992,0.008281507484196897,0.5462889887640136,0.8374935323316897,0.01315005923105262,0.0002471988354194092,0.015538542940918517,0.9998792389963945
aa aab baa,0.49465964169427606,0.8375967285322459,0.546226269036805,0.008281507484197178,0.5462889887640193,0.8374935323316859,0.013150059231052882,0.0002471988354194248,0.01553854294091889,0.9998792389963945
aaa aab aaB,0.49660803176921453,0.8375967541238731,0.5462890054544911,8.337072571891951e-07,0.5462890054551273,0.8375967541228891,1.2839029774294866e-06,3.0715881296476354e-09,1.5308380748755217e-06,0.9999999999988283
aa aab aaB,0.4966080317692238,0.8375967541238694,0.5462890054544968,8.337072571892251e-07,0.5462890054551328,0.8375967541228855,1.2839029774295143e-06,3.0715881296479162e-09,1.530838074875561e-06,0.9999999999988283
bb AA BB,0.5008786884757995,0.9999999999840337,5.371526876109265e-06,1.7547440115812471e-06,5.650878349563351e-06,0.9504997600052414,0.31072529056715964,1.1854874897485958e-09,0.3107252905721144,0.9504997600204195
aa AA BB,0.5008827295401682,0.9999999999840337,1.756997622318269e-06,5.370790154354533e-06,1.1854871628675475e-09,0.9504997600262785,0.3107252905541923,5.650878349563351e-06,0.3107252905492248,0.9504997600111046
bb AA aaa,0.5421737797547339,0.9504997600111031,4.560041536783683e-06,0.3107252905671526,5.371158515197661e-06,0.9999999999840358,1.754744011891907e-06,0.3107252905541904,3.336838552501207e-06,0.9504997600204219
bb BB aaa,0.5421768057351939,0.9504997600248137,1.6699113596382246e-06,0.31072529055418524,1.12680557453645e-09,0.9999999999855776,5.370790154253412e-06,0.3107252905586725,5.104584625771954e-06,0.9504997600111069
BB aaa aBa,0.574053298138772,0.9999999999840337,5.2454040342068774e-06,2.1019457950403153e-06,5.6508783495638085e-06,0.928003668949013,0.3725710541430168,3.672300701126329e-09,0.37257105414894603,0.9280036689638372
AA aaa aBa,0.5740571260071726,0.9999999999962186,1.0257162685349067e-06,2.5516823242591403e-06,1.1854871628819921e-09,0.9280036689704817,0.3725710541323951,2.7501227503684067e-06,0.3725710541309832,0.9280036689669738
aaa aba aBa,0.610591728971146,0.9279606271556295,0.007521130867025038,0.37260234438260303,0.009631199977454425,0.9999463908260313,0.0038020337963125617,0.3725537738849589,0.007116745356910295,0.927983317468369
aa aba aBa,0.6105917289711554,0.9279606271556269,0.007521130867024541,0.3726023443826102,0.009631199977453899,0.9999463908260313,0.003802033796312437,0.3725537738849661,0.007116745356910041,0.9279833174683663
aa BB aBa,0.6174185090466918,0.9280036689572309,4.083360340333983e-06,0.37257105414302394,5.244035841309499e-06,0.999999999984041,2.101945795040188e-06,0.372571054128495,3.904389371106998e-06,0.9280036689638343
aaa aaB aBa,0.6174207212785896,0.928003668969994,2.2447724839119795e-06,0.37257105412684816,3.403123328551165e-09,0.9999999999819003,6.016609041703225e-06,0.37257105413361064,5.582167360212791e-06,0.928003668953205
aa aaB aBa,0.6174207212785987,0.9280036689699909,2.244772483912016e-06,0.37257105412685537,3.4031233285514805e-09,0.9999999999819003,6.016609041703205e-06,0.37257105413361785,5.582167360212754e-06,0.928003668953202
aa AA aBa,0.6174216354473505,0.9280036689699909,9.517039040129444e-07,0.3725710541324024,1.1001364366754744e-09,0.9999999999967447,2.551682324259133e-06,0.37257105413361785,2.3675606799664483e-06,0.9280036689669711
bb aab aba,0.6685490386959347,0.7629186913368935,0.6464934934892084,0.001110533619772194,0.646494446675354,0.7629174885883883,0.0013549995994093368,2.8752904509045915e-05,0.0017517083391723888,0.9999984653444048
bb aab aaB,0.6687342067002519,0.7629186916136634,0.6464944454537531,4.454144716544299e-05,0.6464944469098878,0.7629186907825596,3.700410505893365e-05,1.0058554177432579e-05,5.702692166568526e-05,0.9999999983233778
bb aab baa,0.6778470829140021,0.762617882904381,0.6380498826419074,0.10633114282790154,0.646239542734291,0.7586702274782939,0.08242535619946217,0.02807878346748676,0.13157443976199104,0.9909085471022562
